Country,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Nauru,60.3,60,59.6,59.3,58.9,58.5,58.2,57.8,57.4,57,56
Cook Islands,54.9,54.3,53.8,53.2,52.6,52,51.3,50.6,49.9,49.1,48
Palau,54.2,53.7,53.1,52.4,51.8,51.1,50.4,49.7,48.9,48.2,47
Marshall Islands,51.8,51.3,50.7,50.1,49.6,49,48.4,47.9,47.3,46.7,46
Tuvalu,50.1,49.4,48.6,47.8,47,46.2,45.5,44.7,43.9,43.1,42
Niue,48.4,47.6,46.8,46,45.2,44.4,43.6,42.8,42.1,41.3,40
Tonga,46.8,46.1,45.4,44.7,44.1,43.4,42.7,42,41.3,40.6,39
Samoa,46,45.4,44.7,44.1,43.4,42.8,42.2,41.5,40.8,40.2,39
Kiribati,44.7,44.1,43.5,42.8,42.2,41.6,40.9,40.3,39.6,38.9,38
Micronesia (Federated States of),44.4,43.7,42.9,42.2,41.5,40.8,40.1,39.3,38.6,37.9,37
Kuwait,36.8,36.2,35.6,35.1,34.6,34,33.5,33,32.5,32,31
United States of America,34.9,34.3,33.6,33,32.3,31.7,31,30.3,29.7,29,28
Jordan,34.3,33.7,33.1,32.5,31.9,31.4,30.8,30.3,29.7,29.2,28
Saudi Arabia,34.1,33.4,32.8,32.1,31.5,30.8,30.2,29.6,29,28.4,27
Qatar,33.8,33.1,32.4,31.8,31.1,30.5,30,29.5,29.1,28.7,28
Libya,31.3,30.6,30,29.4,28.8,28.2,27.6,27.1,26.5,26,25
Lebanon,30.8,30.3,29.7,29.2,28.7,28.2,27.7,27.2,26.7,26.3,25
Türkiye,30.8,30.2,29.5,28.9,28.2,27.6,26.9,26.3,25.7,25.1,24
Egypt,30.6,30,29.3,28.6,28,27.4,26.7,26.1,25.5,24.9,24
Bahamas,30.5,30,29.5,29,28.5,28.1,27.6,27.1,26.6,26.2,25
United Arab Emirates,30.3,29.7,29,28.3,27.7,27,26.3,25.7,25,24.5,23
New Zealand,29.6,29,28.4,27.8,27.2,26.6,26.1,25.5,24.9,24.4,23
Iraq,29.2,28.6,28,27.5,26.9,26.4,25.9,25.4,24.9,24.4,23
Fiji,28.9,28.3,27.7,27.1,26.5,26,25.4,24.8,24.3,23.7,23
Bahrain,28.8,28.2,27.6,27.1,26.6,26.2,25.8,25.4,25,24.7,24
Canada,28.3,27.7,27.1,26.6,26,25.5,24.9,24.4,23.8,23.3,22
Malta,28.2,27.8,27.5,27.1,26.8,26.4,26.1,25.7,25.3,25,24
Australia,27.9,27.3,26.7,26.2,25.6,25.1,24.6,24,23.5,22.9,22
Mexico,27.8,27.3,26.8,26.3,25.8,25.3,24.8,24.3,23.8,23.3,22
Argentina,27.3,26.8,26.3,25.8,25.3,24.8,24.4,23.9,23.4,23,22
South Africa,27.2,26.7,26.1,25.6,25.1,24.5,24,23.4,22.9,22.3,21
Chile,27,26.5,26.1,25.6,25.1,24.7,24.2,23.7,23.3,22.8,22
Uruguay,27,26.5,26,25.5,25.1,24.6,24.1,23.7,23.2,22.8,22
Dominica,26.8,26.2,25.6,25,24.5,23.9,23.4,22.9,22.3,21.8,21
United Kingdom of Great Britain and Northern Ireland,26.6,26,25.4,24.8,24.2,23.6,23.1,22.5,21.9,21.4,20
Syrian Arab Republic,26.4,25.8,25.1,24.4,23.8,23.1,22.5,21.9,21.3,20.7,20
Dominican Republic,26.1,25.3,24.5,23.8,23,22.2,21.5,20.7,20,19.3,18
Algeria,26,25.3,24.7,24,23.3,22.7,22,21.4,20.8,20.2,19
Tunisia,25.7,25.1,24.6,24,23.4,22.9,22.3,21.8,21.3,20.7,20
Lithuania,25.6,25.3,25,24.7,24.4,24.1,23.8,23.5,23.2,22.9,22
Oman,25.6,24.9,24.3,23.7,23.1,22.4,21.8,21.1,20.5,20,19
Israel,25.5,25.1,24.8,24.5,24.2,23.9,23.6,23.3,23,22.7,22
Hungary,25.4,25,24.5,24,23.5,23.1,22.6,22.2,21.7,21.3,20
Suriname,25.4,24.9,24.4,24,23.5,23,22.5,22.1,21.6,21.2,20
Andorra,25.2,25,24.8,24.6,24.4,24.2,24,23.8,23.6,23.4,23
Czechia,25.2,24.9,24.5,24.2,23.9,23.6,23.2,22.9,22.6,22.3,22
Venezuela (Bolivarian Republic of),24.8,24.4,24,23.7,23.3,22.9,22.5,22.2,21.8,21.4,21
Morocco,24.7,24.1,23.4,22.8,22.1,21.5,20.9,20.4,19.8,19.2,18
Iran (Islamic Republic of),24.6,24,23.3,22.7,22.1,21.5,20.9,20.3,19.7,19.1,18
Costa Rica,24.3,23.6,22.9,22.2,21.4,20.7,20,19.3,18.6,18,17
Bulgaria,24.1,23.7,23.2,22.8,22.4,22,21.6,21.2,20.8,20.4,20
Greece,24,23.6,23.2,22.8,22.4,22,21.6,21.2,20.8,20.4,20
Ireland,24,23.4,22.8,22.2,21.6,21,20.4,19.8,19.3,18.7,18
Vanuatu,23.9,23.2,22.6,22,21.3,20.7,20.1,19.5,19,18.4,17
Belarus,23.7,23.4,23,22.7,22.3,21.9,21.6,21.2,20.9,20.5,20
Cuba,23.6,23.1,22.6,22.2,21.7,21.2,20.8,20.3,19.9,19.4,19
Jamaica,23.5,22.9,22.3,21.7,21.1,20.6,20,19.5,18.9,18.4,17
Croatia,23.4,22.9,22.5,22,21.6,21.1,20.7,20.2,19.8,19.4,19
El Salvador,23.4,22.8,22.2,21.7,21.1,20.6,20,19.5,18.9,18.4,17
Ukraine,23.4,23,22.7,22.4,22,21.7,21.4,21.1,20.8,20.5,20
Spain,23.1,22.7,22.4,22,21.7,21.3,21,20.7,20.3,20,19
Belize,23,22.5,22,21.5,21,20.5,20,19.6,19.1,18.7,18
Latvia,23,22.7,22.4,22.1,21.8,21.5,21.3,21,20.7,20.5,20
Nicaragua,22.5,22,21.5,20.9,20.4,19.9,19.4,18.9,18.4,17.9,17
Russian Federation,22.5,22.2,21.9,21.7,21.4,21.2,20.9,20.7,20.4,20.2,19
Montenegro,22.4,22,21.6,21.2,20.8,20.4,20,19.5,19.1,18.6,18
Saint Vincent and the Grenadines,22.4,21.8,21.2,20.6,20,19.4,18.8,18.3,17.7,17.2,16
Poland,22.3,21.9,21.5,21.2,20.8,20.5,20.1,19.8,19.4,19.1,18
Norway,22.2,21.7,21.3,20.8,20.4,19.9,19.5,19,18.6,18.2,17
Barbados,22,21.4,20.9,20.4,19.8,19.4,18.9,18.4,17.9,17.4,17
Luxembourg,21.7,21.3,20.9,20.4,20,19.6,19.2,18.7,18.3,17.9,17
Panama,21.6,21.1,20.6,20.1,19.6,19.1,18.6,18.2,17.7,17.2,16
North Macedonia,21.6,21.2,20.8,20.5,20.1,19.8,19.4,19.1,18.8,18.5,18
Romania,21.6,21.1,20.7,20.2,19.8,19.4,19,18.6,18.2,17.8,17
Saint Kitts and Nevis,21.6,21,20.4,19.8,19.3,18.7,18.2,17.7,17.2,16.7,16
Germany,21.5,21.1,20.7,20.3,19.9,19.5,19.2,18.8,18.4,18,17
Belgium,21.4,21,20.7,20.4,20.1,19.8,19.5,19.2,18.9,18.5,18
Colombia,21.4,20.9,20.4,20,19.5,19.1,18.7,18.2,17.8,17.4,17
Finland,21.4,21.1,20.7,20.3,20,19.6,19.3,18.9,18.5,18.2,17
Solomon Islands,21.2,20.6,19.9,19.3,18.7,18.1,17.6,17,16.5,15.9,15
Brazil,21.1,20.6,20.1,19.6,19.2,18.7,18.2,17.8,17.3,16.8,16
Cyprus,21.1,20.7,20.4,20.1,19.8,19.4,19.1,18.8,18.5,18.2,17
Iceland,21.1,20.7,20.3,20,19.6,19.2,18.9,18.5,18.2,17.8,17
Haiti,21,20.2,19.4,18.6,17.7,16.9,16.2,15.4,14.7,13.9,13
France,20.8,20.4,20.1,19.7,19.3,19,18.6,18.3,17.9,17.6,17
Estonia,20.7,20.4,20.1,19.9,19.6,19.4,19.1,18.9,18.6,18.4,18
Serbia,20.7,20.3,20,19.6,19.2,18.8,18.4,18,17.7,17.3,16
Albania,20.5,19.9,19.3,18.8,18.2,17.6,17,16.5,16,15.4,14
Georgia,20.5,19.9,19.3,18.7,18.2,17.6,17.1,16.6,16.1,15.7,15
Grenada,20.2,19.6,19.1,18.6,18.1,17.6,17.1,16.7,16.2,15.7,15
Honduras,20.1,19.5,19,18.4,17.8,17.2,16.7,16.1,15.6,15,14
Papua New Guinea,20.1,19.6,19,18.5,17.9,17.4,16.9,16.4,15.9,15.5,15
Guatemala,20,19.5,18.9,18.4,17.8,17.3,16.8,16.3,15.8,15.3,14
Kazakhstan,20,19.5,19,18.5,18,17.6,17.1,16.7,16.3,15.9,15
Portugal,19.9,19.5,19,18.6,18.1,17.7,17.2,16.8,16.3,15.9,15
Slovakia,19.8,19.4,19.1,18.8,18.4,18.1,17.8,17.5,17.2,16.9,16
Sweden,19.8,19.4,19,18.6,18.2,17.8,17.4,17.1,16.7,16.3,16
Netherlands,19.5,19.1,18.6,18.2,17.7,17.3,16.8,16.3,15.8,15.4,14
Slovenia,19.5,19.1,18.8,18.4,18.1,17.8,17.5,17.2,16.8,16.5,16
Bolivia (Plurinational State of),19.3,18.8,18.3,17.9,17.4,17,16.5,16.1,15.7,15.2,14
Italy,19.3,19,18.7,18.3,18.1,17.8,17.5,17.2,16.9,16.5,16
Armenia,19.2,18.8,18.3,17.9,17.5,17.1,16.7,16.4,16,15.7,15
Austria,19.2,18.8,18.4,18,17.6,17.3,16.9,16.5,16.1,15.8,15
Mongolia,19.2,18.6,17.9,17.3,16.7,16.1,15.5,14.9,14.3,13.8,13
Paraguay,19.2,18.7,18.2,17.7,17.2,16.7,16.2,15.7,15.2,14.7,14
Ecuador,19,18.5,18.1,17.6,17.2,16.8,16.4,16,15.6,15.2,14
Guyana,19,18.4,17.9,17.4,16.8,16.3,15.8,15.3,14.8,14.3,13
Denmark,18.9,18.5,18.1,17.8,17.4,17.1,16.7,16.4,16,15.7,15
Peru,18.9,18.5,18.1,17.7,17.3,16.9,16.5,16.1,15.7,15.3,15
Azerbaijan,18.8,18.2,17.7,17.2,16.6,16.2,15.7,15.2,14.8,14.3,13
Switzerland,18.7,18.4,18,17.6,17.3,16.9,16.5,16.2,15.9,15.5,15
Saint Lucia,18.5,18,17.4,17,16.5,16.2,15.8,15.5,15.1,14.8,14
Botswana,18.2,17.9,17.5,17.2,16.9,16.5,16.2,15.8,15.5,15.1,14
Republic of Moldova,18.2,17.8,17.5,17.2,16.9,16.6,16.3,16,15.7,15.5,15
Antigua and Barbuda,18,17.5,17.1,16.7,16.2,15.9,15.5,15.1,14.7,14.4,14
Trinidad and Tobago,17.4,16.9,16.3,15.8,15.3,14.8,14.3,13.8,13.3,12.9,12
Turkmenistan,17.4,16.9,16.3,15.8,15.3,14.8,14.3,13.8,13.4,12.9,12
Bosnia and Herzegovina,17.1,16.7,16.3,16,15.6,15.3,14.9,14.6,14.3,14,13
Namibia,16.1,15.6,15.1,14.6,14,13.5,13,12.5,12,11.6,11
Yemen,15.9,15.2,14.6,14.1,13.5,13,12.4,11.9,11.4,11,10
Eswatini,15.7,15.3,14.9,14.5,14.1,13.8,13.4,13.1,12.7,12.4,12
Lesotho,15.7,15.3,14.9,14.5,14.1,13.6,13.2,12.8,12.3,11.9,11
Kyrgyzstan,15.5,14.9,14.4,13.9,13.4,13,12.5,12.1,11.7,11.3,10
Uzbekistan,15.4,14.9,14.4,13.9,13.5,13,12.6,12.2,11.8,11.4,11
Zimbabwe,14.9,14.6,14.3,14.1,13.8,13.5,13.2,12.9,12.5,12.2,11
Gabon,14.3,13.9,13.5,13.2,12.8,12.5,12.1,11.8,11.4,11.1,10
Malaysia,14.3,13.7,13.1,12.6,12,11.5,10.9,10.4,9.9,9.4,8.9
Seychelles,13.2,12.8,12.4,12,11.7,11.4,11,10.7,10.4,10,9.8
Tajikistan,13.2,12.7,12.2,11.8,11.3,10.9,10.5,10.1,9.7,9.4,9.1
Brunei Darussalam,13.1,12.6,12.1,11.6,11.1,10.7,10.2,9.8,9.4,9,8.6
Djibouti,12.9,12.6,12.3,12,11.8,11.5,11.2,11,10.7,10.5,10
Mauritania,11.8,11.4,11,10.6,10.3,9.9,9.5,9.1,8.8,8.4,8.1
Sao Tome and Principe,11.6,11.2,10.7,10.3,10,9.6,9.2,8.8,8.4,8,7.7
Cabo Verde,11,10.7,10.3,9.9,9.6,9.2,8.9,8.6,8.2,7.9,7.6
Cameroon,10.6,10.2,9.8,9.4,9,8.7,8.3,8,7.7,7.3,7
Mauritius,10.2,9.9,9.6,9.3,9.1,8.8,8.6,8.3,8.1,7.9,7.7
Ghana,10.1,9.8,9.4,9.1,8.7,8.4,8,7.7,7.4,7,6.7
Gambia,9.5,9.1,8.7,8.4,8,7.6,7.3,6.9,6.6,6.3,5.9
Côte d'Ivoire,9.4,9,8.7,8.3,7.9,7.6,7.2,6.9,6.6,6.3,6
Liberia,9.2,8.9,8.6,8.3,8,7.7,7.4,7.1,6.8,6.6,6.3
Benin,8.9,8.6,8.2,7.9,7.6,7.3,7,6.7,6.5,6.2,6
Congo,8.9,8.6,8.3,8,7.7,7.4,7.1,6.8,6.6,6.3,6.1
Thailand,8.9,8.4,7.9,7.4,7,6.5,6.1,5.7,5.4,5,4.7
Guinea-Bissau,8.7,8.3,7.9,7.6,7.2,6.9,6.6,6.2,5.9,5.6,5.3
Senegal,8.2,7.9,7.6,7.3,7.1,6.8,6.5,6.3,6,5.8,5.6
Nigeria,8.1,7.7,7.4,7,6.7,6.4,6,5.7,5.4,5.2,4.9
Sierra Leone,8,7.7,7.4,7.1,6.8,6.5,6.3,6,5.8,5.5,5.3
Mali,7.9,7.5,7.2,6.8,6.5,6.2,5.9,5.6,5.3,5,4.8
Pakistan,7.8,7.5,7.1,6.8,6.5,6.2,5.9,5.6,5.3,5.1,4.8
Togo,7.8,7.4,7.1,6.8,6.5,6.3,6,5.7,5.5,5.2,5
Maldives,7.6,7.2,6.7,6.3,5.9,5.5,5.2,4.8,4.5,4.2,3.9
Somalia,7.6,7.3,7,6.7,6.4,6.2,5.9,5.6,5.4,5.2,4.9
United Republic of Tanzania,7.6,7.3,6.9,6.6,6.3,6,5.7,5.4,5.1,4.9,4.7
Angola,7.5,7.1,6.8,6.5,6.2,5.9,5.6,5.3,5,4.8,4.5
Equatorial Guinea,7.4,7.1,6.8,6.5,6.3,6,5.8,5.6,5.4,5.2,5
Zambia,7.4,7.1,6.8,6.5,6.3,6,5.7,5.5,5.3,5.1,4.9
Comoros,7.2,6.9,6.7,6.4,6.2,5.9,5.7,5.5,5.3,5.1,4.9
Guinea,7,6.7,6.4,6.2,5.9,5.6,5.4,5.2,4.9,4.7,4.5
Central African Republic,6.9,6.6,6.4,6.1,5.9,5.6,5.4,5.2,5,4.8,4.6
Mozambique,6.7,6.4,6.1,5.9,5.7,5.4,5.2,5,4.8,4.6,4.4
Kenya,6.5,6.2,5.9,5.6,5.4,5.1,4.9,4.6,4.4,4.2,4
Democratic People's Republic of Korea,6.3,6.1,5.9,5.7,5.5,5.4,5.2,5,4.9,4.7,4.6
Democratic Republic of the Congo,6.1,5.9,5.6,5.3,5.1,4.8,4.6,4.4,4.2,4,3.8
Indonesia,6.1,5.8,5.5,5.2,4.9,4.6,4.3,4.1,3.8,3.6,3.4
Philippines,5.9,5.7,5.4,5.2,5,4.8,4.6,4.4,4.2,4.1,3.9
Singapore,5.8,5.7,5.6,5.5,5.4,5.3,5.2,5.1,5,4.9,4.8
Sudan (former),5.8,5.7,6.4,6.1,6.5,5.1,6.1,5.8,4.3,4.8,5.9
Bhutan,5.7,5.5,5.2,4.9,4.6,4.4,4.1,3.9,3.6,3.4,3.2
Chad,5.6,5.3,5.1,4.9,4.7,4.5,4.3,4.1,3.9,3.7,3.6
China,5.5,5.2,5,4.7,4.4,4.1,3.9,3.7,3.4,3.2,3
Malawi,5.3,5,4.8,4.6,4.4,4.2,4,3.8,3.6,3.4,3.3
Rwanda,5.3,5,4.7,4.5,4.2,4,3.8,3.6,3.3,3.2,3
Myanmar,5.1,4.8,4.6,4.3,4,3.8,3.6,3.4,3.2,3,2.8
Burkina Faso,5,4.7,4.5,4.2,4,3.7,3.5,3.3,3.1,2.9,2.8
Niger,5,4.8,4.5,4.3,4.1,3.9,3.7,3.6,3.4,3.2,3.1
Afghanistan,4.9,4.7,4.4,4.2,4,3.8,3.6,3.4,3.2,3,2.9
Burundi,4.9,4.6,4.4,4.2,4,3.8,3.6,3.4,3.2,3.1,2.9
Madagascar,4.8,4.5,4.3,4.1,3.9,3.7,3.5,3.3,3.1,3,2.8
Uganda,4.8,4.5,4.3,4.1,3.9,3.7,3.5,3.4,3.2,3.1,2.9
Lao People's Democratic Republic,4.7,4.4,4.1,3.8,3.5,3.3,3.1,2.9,2.7,2.5,2.3
Sri Lanka,4.6,4.4,4.1,3.9,3.7,3.5,3.3,3.1,3,2.8,2.7
Eritrea,4.5,4.3,4.1,3.9,3.7,3.5,3.4,3.2,3,2.9,2.7
Republic of Korea,4.4,4.3,4.1,4,3.9,3.8,3.7,3.6,3.5,3.4,3.3
Ethiopia,4,3.8,3.6,3.4,3.3,3.1,2.9,2.8,2.7,2.5,2.4
Japan,3.9,3.8,3.6,3.5,3.3,3.2,3,2.9,2.7,2.6,2.5
Nepal,3.7,3.5,3.3,3.1,2.9,2.7,2.6,2.4,2.3,2.1,2
Cambodia,3.5,3.3,3.1,2.9,2.7,2.6,2.4,2.3,2.2,2,1.9
India,3.5,3.3,3.1,3,2.8,2.7,2.5,2.4,2.3,2.1,2
Timor-Leste,3.3,3.1,2.9,2.8,2.6,2.4,2.3,2.1,2,1.9,1.8
Bangladesh,3.2,3,2.8,2.6,2.5,2.3,2.2,2,1.9,1.8,1.7
Viet Nam,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1,0.9,0.9
